pk_serie,cod_escola,nome_escola,n_classe_sed,tipo_de_ensino,capacidade,quant_alunos_ativos,nome_serie_sed,periodo,tipo_ensino_matricula,turma,cod_turma,cod_escola,filtro_serie,link_sala,cod_turma,id
10137,02,EM DR. DINO BUENO,295014526,EDUCACAO INFANTIL,30,25,2ª ETAPA PRÉ-ESCOLA D TARDE ANUAL,TARDE,PRÉ-ESCOLA,P2D,2502P2D,02,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/11dDz-fJ-DZD6DwPSSIIQwLz6Z8XBv8Rnq4qvrjWncKE/edit?usp=drivesdk,2502P2D,11dDz-fJ-DZD6DwPSSIIQwLz6Z8XBv8Rnq4qvrjWncKE
10196,02,EM DR. DINO BUENO,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE A MANHA ANUAL,MANHA,EDUCAÇÃO ESPECIAL,AEEA,2502AEEA,02,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/172T_xg06uTaW3uGI7G14iTly9-v13c0wBqKv6g0LnKk/edit?usp=drivesdk,2502AEEA,172T_xg06uTaW3uGI7G14iTly9-v13c0wBqKv6g0LnKk
10197,02,EM DR. DINO BUENO,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE B TARDE ANUAL,TARDE,EDUCAÇÃO ESPECIAL,AEEB,2502AEEB,02,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/1Fp-ZKLUSiJHIk3Q4EvzWeLjBmwAdK-djIEFy4GCYyFI/edit?usp=drivesdk,2502AEEB,1Fp-ZKLUSiJHIk3Q4EvzWeLjBmwAdK-djIEFy4GCYyFI
10164,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,292793296,ENSINO FUNDAMENTAL DE 9 ANOS,20,14,3° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3A,25033A,03,3 ANO,https://docs.google.com/spreadsheets/d/1VnOISvnJSIATNvQHKEjfh1gK0WY_OeNot5NzK6vWcms/edit?usp=drivesdk,25033A,1VnOISvnJSIATNvQHKEjfh1gK0WY_OeNot5NzK6vWcms
10165,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,292795176,ENSINO FUNDAMENTAL DE 9 ANOS,30,20,3° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3B,25033B,03,3 ANO,https://docs.google.com/spreadsheets/d/19_y1cPMg1IvmWZSma8yE1uRjJKVd3CgPlxEOU0Tpnt8/edit?usp=drivesdk,25033B,19_y1cPMg1IvmWZSma8yE1uRjJKVd3CgPlxEOU0Tpnt8
10166,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,292796711,ENSINO FUNDAMENTAL DE 9 ANOS,30,22,3° ANO C INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3C,25033C,03,3 ANO,https://docs.google.com/spreadsheets/d/1gVbB4Mules191hQYheCXRiFqqSSHNCIuMUBGXaodSPg/edit?usp=drivesdk,25033C,1gVbB4Mules191hQYheCXRiFqqSSHNCIuMUBGXaodSPg
10167,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,295011498,ENSINO FUNDAMENTAL DE 9 ANOS,30,21,3° ANO D INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,3D,25033D,03,3 ANO,https://docs.google.com/spreadsheets/d/1v3lOEcvIqWsNsPU8oJ_uDwkqOa9eXnESNwOpV6kN8HE/edit?usp=drivesdk,25033D,1v3lOEcvIqWsNsPU8oJ_uDwkqOa9eXnESNwOpV6kN8HE
10174,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,292804036,ENSINO FUNDAMENTAL DE 9 ANOS,30,18,4° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,4A,25034A,03,4 ANO,https://docs.google.com/spreadsheets/d/1x9RW8iD61HeDZl8DVrHcrTiWcE3s-L9rCPjzZIfd65k/edit?usp=drivesdk,25034A,1x9RW8iD61HeDZl8DVrHcrTiWcE3s-L9rCPjzZIfd65k
10175,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,292804986,ENSINO FUNDAMENTAL DE 9 ANOS,30,22,4° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,4B,25034B,03,4 ANO,https://docs.google.com/spreadsheets/d/15N8C4RY53MylKvRl-f7y0C1D-wvRHNtAw1w9A0og5kw/edit?usp=drivesdk,25034B,15N8C4RY53MylKvRl-f7y0C1D-wvRHNtAw1w9A0og5kw
10176,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,292805744,ENSINO FUNDAMENTAL DE 9 ANOS,30,22,4° ANO C INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,4C,25034C,03,4 ANO,https://docs.google.com/spreadsheets/d/1bs7AdAOp6SJAAQKipe0esM7nQwlmpB7ofwoyStco-H4/edit?usp=drivesdk,25034C,1bs7AdAOp6SJAAQKipe0esM7nQwlmpB7ofwoyStco-H4
10177,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,295011605,ENSINO FUNDAMENTAL DE 9 ANOS,30,19,4° ANO D INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,4D,25034D,03,4 ANO,https://docs.google.com/spreadsheets/d/1jCDylwCsofajX5d_x_YLIknMsk7HTc67Nd7BENQoY4U/edit?usp=drivesdk,25034D,1jCDylwCsofajX5d_x_YLIknMsk7HTc67Nd7BENQoY4U
10184,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,292806734,ENSINO FUNDAMENTAL DE 9 ANOS,30,23,5° ANO A INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5A,25035A,03,5 ANO,https://docs.google.com/spreadsheets/d/1KLCZdUhfH70BSf9uiL1EPu-OxcaFFBfgi7t4uTpBsQI/edit?usp=drivesdk,25035A,1KLCZdUhfH70BSf9uiL1EPu-OxcaFFBfgi7t4uTpBsQI
10185,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,292807658,ENSINO FUNDAMENTAL DE 9 ANOS,30,24,5° ANO B INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5B,25035B,03,5 ANO,https://docs.google.com/spreadsheets/d/1ZWLMm1YVrwvKCivVq9rra8gPuWeyOdN3tpUiTKCTsxU/edit?usp=drivesdk,25035B,1ZWLMm1YVrwvKCivVq9rra8gPuWeyOdN3tpUiTKCTsxU
10186,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,292808219,ENSINO FUNDAMENTAL DE 9 ANOS,30,23,5° ANO C INTEGRAL ANUAL,INTEGRAL,FUNDAMENTAL,5C,25035C,03,5 ANO,https://docs.google.com/spreadsheets/d/1IaferD4Gub1HYfId0WA4iLbedP1hCRBrzGSHSOGo2wY/edit?usp=drivesdk,25035C,1IaferD4Gub1HYfId0WA4iLbedP1hCRBrzGSHSOGo2wY
10196,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE A MANHA ANUAL,MANHA,EDUCAÇÃO ESPECIAL,AEEA,2503AEEA,03,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/128uUfHDyM-cp-fcP6Kjht3MpgZQuSb5f4xDL0tlOgtM/edit?usp=drivesdk,2503AEEA,128uUfHDyM-cp-fcP6Kjht3MpgZQuSb5f4xDL0tlOgtM
10197,03,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE B TARDE ANUAL,TARDE,EDUCAÇÃO ESPECIAL,AEEB,2503AEEB,03,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/1FK_rx8MIUx8wttq4knsVyjXiG03iKwPZi9ugY9HDbhk/edit?usp=drivesdk,2503AEEB,1FK_rx8MIUx8wttq4knsVyjXiG03iKwPZi9ugY9HDbhk
10144,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292757796,ENSINO FUNDAMENTAL DE 9 ANOS,40,39,1° ANO A TARDE ANUAL,TARDE,FUNDAMENTAL,1A,25041A,04,1 ANO,https://docs.google.com/spreadsheets/d/1v8LVpL4U7LKjrqsffiqXLS1tE--RoIR4AGOi75cKWEA/edit?usp=drivesdk,25041A,1v8LVpL4U7LKjrqsffiqXLS1tE--RoIR4AGOi75cKWEA
10145,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292758067,ENSINO FUNDAMENTAL DE 9 ANOS,50,40,1° ANO B TARDE ANUAL,TARDE,FUNDAMENTAL,1B,25041B,04,1 ANO,https://docs.google.com/spreadsheets/d/1ETP2JEvAOQGy-RQxhSkNKweVB9A8X8t7MZwChNhGV8w/edit?usp=drivesdk,25041B,1ETP2JEvAOQGy-RQxhSkNKweVB9A8X8t7MZwChNhGV8w
10146,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,295253454,ENSINO FUNDAMENTAL DE 9 ANOS,30,1,1° ANO C TARDE ANUAL,TARDE,FUNDAMENTAL,1C,25041C,04,1 ANO,https://docs.google.com/spreadsheets/d/1KkrXoB2xrXSt1hUXPNz1uxjMdGfzHFVI15_US6DrrfI/edit?usp=drivesdk,25041C,1KkrXoB2xrXSt1hUXPNz1uxjMdGfzHFVI15_US6DrrfI
10147,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,295253546,ENSINO FUNDAMENTAL DE 9 ANOS,35,0,1° ANO D TARDE ANUAL,TARDE,FUNDAMENTAL,1D,25041D,04,1 ANO,https://docs.google.com/spreadsheets/d/18MubxuSJnmVoZSCHLN2uc0j6G1tZHRwzRy_7N3DToR0/edit?usp=drivesdk,25041D,18MubxuSJnmVoZSCHLN2uc0j6G1tZHRwzRy_7N3DToR0
10154,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292811924,ENSINO FUNDAMENTAL DE 9 ANOS,30,27,2° ANO A TARDE ANUAL,TARDE,FUNDAMENTAL,2A,25042A,04,2 ANO,https://docs.google.com/spreadsheets/d/1X10Y-AL5fdoLWazaSWVwv9lnPzqHBKpPWRCkm8v5Fkg/edit?usp=drivesdk,25042A,1X10Y-AL5fdoLWazaSWVwv9lnPzqHBKpPWRCkm8v5Fkg
10155,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292812799,ENSINO FUNDAMENTAL DE 9 ANOS,30,30,2° ANO B TARDE ANUAL,TARDE,FUNDAMENTAL,2B,25042B,04,2 ANO,https://docs.google.com/spreadsheets/d/13oLCbF6eICbsCODvemsdNAgrkzFfNotY-qZbxVNiHDE/edit?usp=drivesdk,25042B,13oLCbF6eICbsCODvemsdNAgrkzFfNotY-qZbxVNiHDE
10156,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292814936,ENSINO FUNDAMENTAL DE 9 ANOS,30,29,2° ANO C TARDE ANUAL,TARDE,FUNDAMENTAL,2C,25042C,04,2 ANO,https://docs.google.com/spreadsheets/d/1-CA3OodHSgpi5EDUXYWgdYufnexk5x0Yl8f2Bu5DJ9A/edit?usp=drivesdk,25042C,1-CA3OodHSgpi5EDUXYWgdYufnexk5x0Yl8f2Bu5DJ9A
10157,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292815610,ENSINO FUNDAMENTAL DE 9 ANOS,30,29,2° ANO D TARDE ANUAL,TARDE,FUNDAMENTAL,2D,25042D,04,2 ANO,https://docs.google.com/spreadsheets/d/1aSIF8-tz3B3nZkZnU48FDTkoT_2c93DlFsvydlsKrBE/edit?usp=drivesdk,25042D,1aSIF8-tz3B3nZkZnU48FDTkoT_2c93DlFsvydlsKrBE
10158,04,EM GENÉSIO SEBASTIÃO DOS SANTOS,292816238,ENSINO FUNDAMENTAL DE 9 ANOS,30,28,2° ANO E TARDE ANUAL,TARDE,FUNDAMENTAL,2E,25042E,04,2 ANO,https://docs.google.com/spreadsheets/d/1g8Cd70YW7pm9Or-5bRM9XkyGQWUeu0RE_2IyiMVXhTY/edit?usp=drivesdk,25042E,1g8Cd70YW7pm9Or-5bRM9XkyGQWUeu0RE_2IyiMVXhTY
